THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
645,846,787,952,955,3
644,846,787,952,955,3
644,846,788,952,955,3
644,845,788,952,954,3
644,846,787,952,955,3
644,846,786,952,955,3
644,845,787,952,955,3
645,845,787,952,955,3
645,845,789,952,955,3
644,845,788,952,955,3
645,845,788,952,955,3
645,845,788,952,955,3
644,845,788,952,955,3
644,845,787,952,955,3
644,845,780,952,955,3
644,845,791,952,955,3
644,845,790,952,955,3
644,845,789,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,787,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
644,845,787,952,955,3
644,845,788,952,955,3
645,845,788,952,955,3
645,845,788,951,955,3
644,845,788,952,955,3
645,845,788,952,955,3
645,845,788,952,955,3
645,845,788,952,955,3
645,845,788,952,955,3
645,845,788,952,955,3
644,845,788,952,955,3
644,845,788,952,955,3
645,845,788,952,955,3
645,845,787,952,955,3
644,845,787,952,955,3
644,845,787,952,955,3
644,845,787,952,955,3
644,845,787,952,955,3
644,846,786,952,955,3
644,845,786,952,955,3
645,845,787,952,955,3
645,845,787,952,955,3
645,845,787,952,955,3
645,845,787,952,955,3
645,845,787,952,955,3
645,845,787,952,955,3
645,845,787,952,955,3
645,845,787,951,955,3
644,845,787,952,955,3
645,845,787,952,955,3
645,846,787,952,954,3
644,845,786,952,955,3
644,845,786,952,954,3
644,845,786,952,954,3
644,845,786,952,954,3
644,845,786,952,954,3
644,845,786,952,954,3
644,845,786,952,954,3
644,845,787,952,954,3
644,845,787,952,954,3
644,844,787,951,954,3
644,844,786,951,954,3
644,844,786,951,954,3
644,843,785,951,954,3
644,843,784,951,953,3
644,842,783,951,953,3
644,842,783,951,953,3
